post_shortcode,post_date,commenter_username,comment_text,comment_likes
DFKccJJPeW_,2025-01-23 09:32:35,tiara_180319,Pemasangan baru tidak ada kelanjutan setelah survey.katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….,0
DFKccJJPeW_,2025-01-23 09:32:35,dshellysss,Sama naik semua ini juga komplen..biasanya cuma 90an sekrang 230an..duh semua serba membayar to …jadi g percaya sama pemerintah begini:crying_face:,0
DFKccJJPeW_,2025-01-23 09:32:35,iirmawulan,Denda PDAM telat ngalah2in pinjol 50k jadi 150k :face_with_tears_of_joy::face_with_tears_of_joy: parahhh,1
DFKccJJPeW_,2025-01-23 09:32:35,shicya_cute,Min kalau puteran PDAM dol itu sya ngadu kesiapa ya,0
DFKccJJPeW_,2025-01-23 09:32:35,firdaulyh,"gimana si, udah menghubungi layanan pengaduan sudah hampir seminggu tidak ada tindak lanjut!",0
DFKccJJPeW_,2025-01-23 09:32:35,mr_yoel_setiawan,"Petugas yg dtg ada bbrpa, jd bingung",0
DFKccJJPeW_,2025-01-23 09:32:35,aini_al_aydrus,Air ya klo pagi dan jam 3 sore kenapa selalu mati,1
DFKccJJPeW_,2025-01-23 09:32:35,muarizkis,"Halo, saya pakai cuma 4m3 setiap bulan, kenapa tagihan selalu 10m3 ya kak?",0
DFKccJJPeW_,2025-01-23 09:32:35,esuhar1,"Air PDAM daerah Jemurwonosari pagi sdh mati sore juga kalau pun keluar kecil , juga kotor tolong d cek",0
DFKccJJPeW_,2025-01-23 09:32:35,jefrisusilo,Laporan ke PDAM tambah dikasih nomer pencatat meter...ditelp gaknisanwoi. Piye Iki tagihan ku gak sesuai meteran ....fast respon dong,0
DFKccJJPeW_,2025-01-23 09:32:35,annisanmy,Pdam naik melulu ya?,0
DFKccJJPeW_,2025-01-23 09:32:35,niarizkyy,Td ada petugas pdam ke rmh namun tdk menggunakan seragam resmin pdam katanya mau peremajaan meteran apa betul? Untuk kelurahan dukuh menanggal,0
DFKccJJPeW_,2025-01-23 09:32:35,novandi_dwi,Pak tolong tenggumung wetan gang garuda mati udah 3 hari ini... Tolong di tindak lanjuti ..,0
DFKccJJPeW_,2025-01-23 09:32:35,yohanwahyudi581,:thumbs_up:,1
DFKccJJPeW_,2025-01-23 09:32:35,rereawandaerto,"Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada",0
DFKccJJPeW_,2025-01-23 09:32:35,sismianah,Tolong dicek @pdamsuryasembada  setro baru Utara air terlalu kecil sehingga tandon tidak mengisi tolong di tindak lanjuti terimakasih setro baru Utara 9,0
DFKccJJPeW_,2025-01-23 09:32:35,essazulfikarsalas,"Halo Kak selamat malam, maaf mengganggu waktunya, saya ingin menyampaikan keluhan terkait aliran air PDAM di wilayah tempat tinggal saya di daerah keputih makam Blk. E1. Sudah cukup lama air hanya mengalir pada malam hari, sekitar pukul 23.00 ke atas, sedangkan dari pagi hingga sore hari sama sekali tidak ada aliran air. Hal ini tentu sangat menyulitkan aktivitas rumah tangga kami. Selain itu, tekanan air yang masuk ke rumah sangat kecil. Bahkan jika saya lupa menutup valve pipa, air di tandon bisa tersedot habis, diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri, bukan paralel. Ini menyebabkan aliran air tidak stabil dan tidak tersedia selama 24 jam.",1
DFKccJJPeW_,2025-01-23 09:32:35,sismianah,PDAM tidak keluar air setro baru Utara 9,0
DFKccJJPeW_,2025-01-23 09:32:35,achmad_syarifudin91,Air pdam makin hari makin kotor sekali.... Apa nggak d treatment? Masak perusahaan daerah air minum jangankan air nya di minum.... Mau mandi aja nggak layak.... Sudah dpasang filter 1 micron pun nggak ada hasil:crying_face:,0
DFKccJJPeW_,2025-01-23 09:32:35,endahhtopa,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",1
DFKccJJPeW_,2025-01-23 09:32:35,dianto0996,Maaf ni mau tanya kalau air pdam daerah surabaya wiyung kotor sminggu lebih. Tolong di cek kondisi tandon atau stok air. Trimakasih,1
DFKccJJPeW_,2025-01-23 09:32:35,harry_loe,"ngajuin surat keberatan tagihan dari bulan januari sampe sekarang gak ada tanggapan. tagihan naik gara2 meter pdam yg rusak, malah pelanggan yang harus bayar kelebihan tagihannya. sekelas perusahaan daerah koq gak profesional gini",0
DFKccJJPeW_,2025-01-23 09:32:35,reza_somad,Biasanya petugas pdam sdh ijin rt dan petugas keamanan,0
DFKccJJPeW_,2025-01-23 09:32:35,akmalfrd,"Sakben maghrib banyune buko makane g mancur??
Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?",0
DFKccJJPeW_,2025-01-23 09:32:35,shaquenaelshanum8,@pdamsuryasembada_ kenapa air d Kalijudan mati hari ini sampai sekarang blm klwr,0
DFKccJJPeW_,2025-01-23 09:32:35,uki257_m,Dari pagi tadi air nggak keluar.. parah parah,0
DFKccJJPeW_,2025-01-23 09:32:35,minimey743,2 bulan tagihan air kenapa melonjak ya,0
DFKccJJPeW_,2025-01-23 09:32:35,faizahindryna,"PDAM GA WARAS, TAGIHAN SETELAH HARI RAYA SELALU TIBA2 NAIK DRASTIS PETUGAS SALAH NYATAT HARUSNYA 14 MALAH DITULIS 114!! GILAK TAGIHANKU JADI 500RB BULAN INI GILA JGN NGAWUR LAH ORG DI RMH ISINYA CMN 2 ORG GAADA KEBOCORAN SAMA SEKALI, GAADA KOLAM RENANG AIR CMN DI PAKE BUAT MANDI SAKA CUCI BAJU KOK BISA TAGIHAN BULAN MEI KMRN 500RB GILS",1
DFKccJJPeW_,2025-01-23 09:32:35,ainunnadifah22,Tagihan yg sangat tidak masuk akal. Jika kelas tarif dipindah ya harus info dong ga langsung di naikkan harga. PDAM dr harga 60rb bulan ini masuk 190rb. Usaha kecil diperkampung untung pun hanya sedikit,0
DFKccJJPeW_,2025-01-23 09:32:35,dhevygilang,PDAM februari melonjak sekali ya admin.. biasany normal 500rbuan... Ini di cek hampir 700 ribuan.. mohon di bantu infonya.,0
DFKccJJPeW_,2025-01-23 09:32:35,hermawan_soekadi,"Yo sido tak ajak ngopi lak ketemu q,, bah orie bah gak_mbulet sikat ae langsung,, prei wong ruwet.!!!",0
DFKccJJPeW_,2025-01-23 09:32:35,than.tawan_,@resitadirgakusuma :crying_face:,0
DFKccJJPeW_,2025-01-23 09:32:35,leonidas_alexander_the_strong,Aliran air di mojo segera ditindak lanjuti dari pada saya datangi kantornya :fire::fire::fire:,0
DFKccJJPeW_,2025-01-23 09:32:35,sismianah,"Air PDAM wilayah Utara Surabaya setro baru Utara sulit mengalir kecil ,,tolong di TL",0
DFKccJJPeW_,2025-01-23 09:32:35,sismianah,Mohon ditindak lanjuti @pdamsuryasembada,0
