post_shortcode,commenter_username,comment_text,comment_likes
CV5WqggMDCb,brookelynn917,"Its incredible, and very alarming that so many just stood , watched, filmed- I would've grabbed my kids, and gotten the hell out if there. It's not surprising how easy it is to captivate humans with music/bright colors .... talk about pied piper ...",0
CV5WqggMDCb,leasyb18,Sick,0
CV5WqggMDCb,xdenigma,Never seen so many idiots in one place. :rolling_on_the_floor_laughing::clown_face::middle_finger:,0
CV5WqggMDCb,myleshw,@jeremyeetseats,0
CV5WqggMDCb,phiggs_goes_fast,"Look, it’s State sponsored propaganda.  Reminds me of NPR.",0
CV5WqggMDCb,danaleeha,Just NO!!!!!!,0
CV5WqggMDCb,dr.manueltg,Karenpaola,0
CV5WqggMDCb,bradjkbwsk,@cristinadjkbwsk,0
CV5WqggMDCb,mactivision,:unamused_face::face_with_rolling_eyes:,0
CV5WqggMDCb,macherie_amelie,@hellomikah,1
CV5WqggMDCb,trickypunk,@2step,1
CV5WqggMDCb,rsjhg_olsen,@leilajerusalemmccarrey mahal ko ang Pilipinas!! Ang galing nila!! :clapping_hands::clapping_hands::clapping_hands:,1
CV5WqggMDCb,denisemattal10,Um scary considering the premise of that show,0
CV5WqggMDCb,jleemike,@_laurynjohnson,1
CV5WqggMDCb,anthonyballios,Great idea and very cool. Thanks for sharing.,0
CV5WqggMDCb,skuggihestur,Good messages.  Wear a mask or be executed:face_with_tears_of_joy:,0
CV5WqggMDCb,devachandiva,Creepy as f,0
CV5WqggMDCb,pilar.pilar.u,:woman_facepalming_light_skin_tone:,0
CV5WqggMDCb,jessa_pea,What are they scanning on their wrists??,0
CV5WqggMDCb,fanzy715,I don’t kno that that would encourage me to wear a mask……..lol,0
CV5WqggMDCb,lipglossed_despot,Creepy. Haven’t they seen that show? Do they get executed if the fail to comply?,0
CV5WqggMDCb,jbaas92,@rainreynoso,0
CV5WqggMDCb,ofeks.za,Boring :face_with_rolling_eyes::face_with_rolling_eyes::face_with_rolling_eyes::face_with_rolling_eyes::face_with_rolling_eyes:,0
CV5WqggMDCb,amyreal5,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
CV5WqggMDCb,ana4patricia,Great initiative  k btw I did not know about Korean Squid games..,0
CV5WqggMDCb,susannahwinspear,Better idea — squid game guards flashmob promoting a free financial counseling pop up,0
CV5WqggMDCb,billy_sour,@martasoup,1
CV5WqggMDCb,carolrabanes,@gianninachan @richmondchan_ @hideeflydee,1
CV5WqggMDCb,blmmsp,Hehe what :clown_face:,0
CV5WqggMDCb,cabodacious,@spatchula1,0
CV5WqggMDCb,lovenissa,"If I saw this in a U.S. mall, I would be ducking and covering",0
CV5WqggMDCb,amynhalligan,@smokestack.lightnin,0
CV5WqggMDCb,pololessonssandiego,Is it possible to block a hashtag on instagram? Because I would like to start with #squidgame and never ever see another thing about it for the rest of my life.,0
CV5WqggMDCb,sono_jr_13,@ipr.16 the dancing :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
CV5WqggMDCb,insanemoe,Useless,0
CV5WqggMDCb,jessicas.movement,Ish!,0
CV5WqggMDCb,raybarrios,That chicken song tho,0
CV5WqggMDCb,isa_halsey,:face_with_tears_of_joy::face_with_tears_of_joy::raising_hands:,0
CV5WqggMDCb,thatzwhutshesaid,Embarrassed to be filo RN,0
CV5WqggMDCb,sbuschw,Not creepy at all…,0
CV5WqggMDCb,aawillgram,Great messaging.,0
CV5WqggMDCb,nicoleandriannna,@who_is_theodorable,0
CV5WqggMDCb,southernlivin,@mike_swfl :face_with_tears_of_joy:,0
CV5WqggMDCb,doreenwhitleyrogers,@jackiemichellelo,0
CV5WqggMDCb,debracom80,Whatever works,0
CV5WqggMDCb,katieckatiedo,It’s the sign that says “Squid Balls” for me,0
CV5WqggMDCb,greyweed,"Me, shopping a few meters away: WTF :grinning_face_with_sweat:",0
CV5WqggMDCb,ludettequiogue,Except the Philippines embraced mask usage without any mandates as early as January 2020. This is nonsense.,0
